公示批次链接,名称缩减
http://www.chinafilm.gov.cn/chinafilm/contents/167/2888.shtml,国家电影局关于2018年12月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2889.shtml,国家电影局关于2018年12月（中旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2890.shtml,国家电影局关于2018年12月（上旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2891.shtml,国家电影局关于2018年11月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2892.shtml,国家电影局关于2018年11月（中旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2893.shtml,国家电影局关于2018年11月（上旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2894.shtml,国家电影局关于2018年10月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2895.shtml,国家电影局关于2018年10月（上旬、中旬）全国电影剧本（梗概）...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2896.shtml,国家电影局关于2018年09月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2897.shtml,国家电影局关于2018年09月（中旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2898.shtml,国家电影局关于2018年09月（上旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2899.shtml,国家电影局关于2018年08月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2900.shtml,国家电影局关于2018年08月（中旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2901.shtml,国家电影局关于2018年08月（上旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2902.shtml,国家电影局关于2018年07月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2903.shtml,国家电影局关于2018年07月（中旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2904.shtml,国家电影局关于2018年07月（上旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2905.shtml,国家电影局关于2018年06月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2906.shtml,国家电影局关于2018年06月（中旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2907.shtml,国家电影局关于2018年06月（上旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2908.shtml,国家电影局关于2018年05月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2909.shtml,国家电影局关于2018年05月（中旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2910.shtml,国家电影局关于2018年05月（上旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2911.shtml,国家电影局关于2018年04月（下旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2912.shtml,国家电影局关于2018年04月（中旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2913.shtml,国家电影局关于2018年04月（上旬）全国电影剧本（梗概）备案、...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2914.shtml,国家新闻出版广电总局电影局关于2018年03月（下旬）全国电影剧本...
