公示批次链接,名称缩减
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0167bba216f86669402881a766e45625&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年11月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01677c3a69434b3a402881a766e45625&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年11月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016748975ed532e2402881a766e45625&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年11月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0167344b9da7221c402881a766e45625&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年10月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0166c3d23df240df402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年10月（上旬、中旬）全国电影剧本（梗概）备案、立项公示的...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01669ed9b9f22b14402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年09月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01661faab6e10263402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年09月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016613e7b22577c3402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年09月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0165f629f65060e2402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年08月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0165c16ae6f13d44402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年08月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01657ebec3e40acb402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年08月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0165190128ea6a5f402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年07月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0164ef2b861c531b402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年07月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0164cf60c1523a8c402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年07月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0164929199ba1946402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年06月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01646884d7627c0e402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年06月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01643af314835289402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年06月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01641b2bd9b933be402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年05月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0163ba33a4790777402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年05月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0163aef93bd97313402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年05月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016381bb1d813b2a402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年04月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=01633da1a6191da0402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年04月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0162f149659c7fde402881a75b8b0ace&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2018年04月（上旬）全国电影剧本（梗概）备案、立项公示的通知
